Id,num_responses,CDC_Recommendation
1503960366,31,Meets Recommendation
1624580081,31,Does Not Meet Recommendation
1644430081,30,Meets Recommendation
1844505072,31,Does Not Meet Recommendation
1927972279,31,Does Not Meet Recommendation
2022484408,31,Meets Recommendation
2026352035,31,Does Not Meet Recommendation
2320127002,31,Does Not Meet Recommendation
2347167796,18,Meets Recommendation
2873212765,31,Meets Recommendation
3372868164,20,Does Not Meet Recommendation
3977333714,30,Meets Recommendation
4020332650,31,Does Not Meet Recommendation
4057192912,4,Does Not Meet Recommendation
4319703577,31,Does Not Meet Recommendation
4388161847,31,Meets Recommendation
4445114986,31,Does Not Meet Recommendation
4558609924,31,Meets Recommendation
4702921684,31,Meets Recommendation
5553957443,31,Meets Recommendation
5577150313,30,Meets Recommendation
6117666160,28,Does Not Meet Recommendation
6290855005,29,Does Not Meet Recommendation
6775888955,26,Meets Recommendation
6962181067,31,Meets Recommendation
7007744171,26,Meets Recommendation
7086361926,31,Meets Recommendation
8053475328,31,Meets Recommendation
8253242879,19,Meets Recommendation
8378563200,31,Meets Recommendation
8583815059,31,Meets Recommendation
8792009665,29,Does Not Meet Recommendation
8877689391,31,Meets Recommendation
