Id,AverageSteps,ActivityLevel
1503960366,12521.0,Very Active
1624580081,5744.0,Low Active
1644430081,7283.0,Low Active
1844505072,3809.0,Limited
1927972279,1671.0,Basal
2022484408,11371.0,Active
2026352035,5567.0,Low Active
2320127002,4717.0,Limited
2347167796,9520.0,Somewhat Active
2873212765,7556.0,Somewhat Active
3372868164,6862.0,Low Active
3977333714,10985.0,Active
4020332650,4134.0,Limited
4057192912,5117.0,Low Active
4319703577,7269.0,Low Active
4388161847,10814.0,Active
4445114986,4797.0,Limited
4558609924,7685.0,Somewhat Active
4702921684,8858.0,Somewhat Active
5553957443,8613.0,Somewhat Active
5577150313,8898.0,Somewhat Active
6117666160,8579.0,Somewhat Active
6290855005,6827.0,Low Active
6775888955,3854.0,Limited
6962181067,9795.0,Somewhat Active
7007744171,12267.0,Active
7086361926,9684.0,Somewhat Active
8053475328,14763.0,Very Active
8253242879,6842.0,Low Active
8378563200,8718.0,Somewhat Active
8583815059,7438.0,Low Active
8792009665,2829.0,Limited
8877689391,16040.0,Very Active
