ActivityDate,AverageSteps
2016-04-12,8768.0
2016-04-13,7663.0
2016-04-14,8243.0
2016-04-15,7534.0
2016-04-16,8959.0
2016-04-17,7072.0
2016-04-18,8152.0
2016-04-19,9198.0
2016-04-20,8707.0
2016-04-21,9421.0
2016-04-22,7687.0
2016-04-23,9211.0
2016-04-24,7887.0
2016-04-25,9066.0
2016-04-26,8644.0
2016-04-27,8914.0
2016-04-28,7839.0
2016-04-29,8367.0
2016-04-30,9240.0
2016-05-01,7388.0
2016-05-02,7572.0
2016-05-03,8864.0
2016-05-04,7265.0
2016-05-05,9738.0
2016-05-06,7760.0
2016-05-07,8295.0
2016-05-08,8275.0
2016-05-09,9280.0
2016-05-10,9397.0
2016-05-11,8203.0
2016-05-12,4302.0
