ActivityDate,AllRespondentSteps
2016-04-12,271816
2016-04-13,237558
2016-04-14,255538
2016-04-15,248617
2016-04-16,277733
2016-04-17,205096
2016-04-18,252703
2016-04-19,257557
2016-04-20,261215
2016-04-21,263795
2016-04-22,238284
2016-04-23,267124
2016-04-24,236621
2016-04-25,253849
2016-04-26,250688
2016-04-27,258516
2016-04-28,242996
2016-04-29,234289
2016-04-30,258726
2016-05-01,206870
2016-05-02,204434
2016-05-03,248203
2016-05-04,196149
2016-05-05,253200
2016-05-06,217287
2016-05-07,207386
2016-05-08,190334
2016-05-09,222718
2016-05-10,206737
2016-05-11,180468
2016-05-12,73129
